time,sample,raw,baseline,highpass,filtered,centered,detected_event,detector_state,current_lane,score,streak,lives,filter_type,baseline_alpha,smoothing_alpha,moving_average_window,threshold_multiplier,refractory_ms
23.847045333997812,916,34634,33102.70540693338,1531.2945930666174,1087.272512940403,1395.2072221161832,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.858705958991777,917,34971,33112.04687989872,1858.9531201012796,1241.6086343725783,1549.5433435483585,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.89912191699841,918,34773,33120.35164549923,1652.6483545007723,1323.816578398217,1631.7512875739972,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.909025791988824,919,34594,33127.719887271734,1466.2801127282655,1352.3092852642267,1660.2439944400069,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.951008208998246,920,33919,33131.67628783538,787.3237121646234,1239.312170644306,1547.2468798200862,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
23.961247166997055,921,33442,33133.2279063962,308.7720936038022,1053.2041552362052,1361.1388644119854,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
24.002565708986367,922,34336,33139.241766864216,1196.7582331357844,1081.914970816121,1389.8496799919012,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
24.01357579199248,923,34336,33145.225558029895,1190.7744419701048,1103.6868650469178,1411.621574222698,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
24.05686720898666,924,33402,33146.50943023975,255.49056976025167,934.0476059895846,1241.9823151653648,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
24.067171291986597,925,33164,33146.59688308855,17.403116911453253,750.7187081739584,1058.6534173497384,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
24.108085166997625,926,33224,33146.983898673105,77.0161013268953,615.9781868045458,923.912895980326,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
24.11802437499864,927,33422,33148.35897917974,273.64102082025784,547.5107536076882,855.4454627834684,,ready,0,50,0,4,EMA Smooth,0.995,0.8,8,1.0,350
24.15981749999628,928,33681,33151.022184283844,529.9778157161563,544.0041660293818,851.938875205162,,ready,0,0,0,3,EMA Smooth,0.995,0.8,8,1.0,350
24.16966641698673,929,34098,33155.75707336242,942.2429266375766,623.6519181510207,931.5866273268009,,ready,0,0,0,3,EMA Smooth,0.995,0.8,8,1.0,350
24.212987624996458,930,33224,33156.098287995614,67.90171200438635,512.5018769216938,820.436586097474,,ready,0,0,0,3,EMA Smooth,0.995,0.8,8,1.0,350
24.22334262498771,931,32727,33153.95279655564,-426.9527965556408,324.61094222622694,632.5456514020071,,ready,0,0,0,3,EMA Smooth,0.995,0.8,8,1.0,350
24.264230666987714,932,31357,33144.96803257287,-1787.9680325728696,-97.90485273359224,210.02985644218796,,ready,0,0,0,3,EMA Smooth,0.995,0.8,8,1.0,350
